doy;geo_id;b'snp1AA';b'snp1AR';b'snp1RR';b'snp2AA';b'snp2AR';b'snp2RR';b'snp3AA';b'snp3AR';b'snp3RR';b'snp4AA';b'snp4AR';b'snp4RR';b'snp5AA';b'snp5AR';b'snp5RR';b'snp6AA';b'snp6AR';b'snp6RR';month;year;tmin0;tmax0;srad0;rain0;dl0;tmin1;tmax1;srad1;rain1;dl1;tmin2;tmax2;srad2;rain2;dl2;tmin3;tmax3;srad3;rain3;dl3;tmin4;tmax4;srad4;rain4;dl4;tmin5;tmax5;srad5;rain5;dl5;tmin6;tmax6;srad6;rain6;dl6;tmin7;tmax7;srad7;rain7;dl7;tmin8;tmax8;srad8;rain8;dl8;tmin9;tmax9;srad9;rain9;dl9;tmin10;tmax10;srad10;rain10;dl10;tmin11;tmax11;srad11;rain11;dl11;tmin12;tmax12;srad12;rain12;dl12;tmin13;tmax13;srad13;rain13;dl13;tmin14;tmax14;srad14;rain14;dl14;tmin15;tmax15;srad15;rain15;dl15;tmin16;tmax16;srad16;rain16;dl16;tmin17;tmax17;srad17;rain17;dl17;tmin18;tmax18;srad18;rain18;dl18;tmin19;tmax19;srad19;rain19;dl19
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
161.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2016.0;8.9;16.5;8.48;0.0;10.10591224;11.0;17.1;8.26;2.0;10.09803506;8.7;18.9;7.89;2.0;10.09082415;11.0;20.3;8.02;17.0;10.08428463;11.5;17.9;8.05;26.0;10.07842116;11.1;19.5;7.77;0.0;10.07323791;9.1;18.5;8.06;0.2;10.06873856;9.1;20.2;8.27;0.0;10.06492626;6.8;16.1;7.68;0.0;10.06180369;6.4;19.1;7.47;0.0;10.05937298;9.5;20.0;8.45;9.0;10.05763574;12.1;16.9;8.21;9.0;10.05659306;9.6;16.0;7.99;4.0;10.05624547;9.7;17.9;8.18;2.0;10.05659299;9.7;16.2;8.27;2.0;10.0576351;9.9;16.9;8.47;0.0;10.05937073;6.1;16.7;7.55;10.0;10.0617983;3.7;17.9;8.02;4.0;10.06491569;7.0;17.7;7.51;0.0;10.06872026;8.7;17.2;8.38;17.0;10.07320887
