,0
0,130.0
1,189.0
2,104.0
3,197.0
4,108.0
5,82.0
6,131.0
7,118.0
8,76.0
9,195.0
10,116.0
11,141.0
12,136.0
13,134.0
14,144.0
15,83.0
16,87.0
17,91.0
18,129.0
19,127.0
20,205.0
21,127.0
22,126.0
23,83.0
24,95.0
25,128.0
26,83.0
27,140.0
28,205.0
29,123.0
30,154.0
31,135.0
32,83.0
33,131.0
34,135.0
35,209.0
36,114.0
37,119.0
38,197.0
39,205.0
40,185.0
41,134.0
42,116.0
43,128.0
44,91.0
45,132.0
46,154.0
47,147.0
48,83.0
49,115.0
50,121.0
51,130.0
52,119.0
53,86.0
54,199.0
55,142.0
56,83.0
57,82.0
58,108.0
59,136.0
60,81.0
61,205.0
62,151.0
63,154.0
64,152.0
65,136.0
66,86.0
67,130.0
68,82.0
69,87.0
70,152.0
71,81.0
72,80.0
73,81.0
74,87.0
75,74.0
76,127.0
77,81.0
78,83.0
79,202.0
80,80.0
81,124.0
82,209.0
83,120.0
84,118.0
85,73.0
86,83.0
87,209.0
88,135.0
89,194.0
90,84.0
91,120.0
92,202.0
93,152.0
94,205.0
95,76.0
96,202.0
97,142.0
98,78.0
99,221.0
100,124.0
101,130.0
102,88.0
103,147.0
104,79.0
105,209.0
106,86.0
107,151.0
108,123.0
109,209.0
110,124.0
111,84.0
112,85.0
113,209.0
114,127.0
115,83.0
116,95.0
117,114.0
118,209.0
119,86.0
120,124.0
121,209.0
122,90.0
123,155.0
124,138.0
125,135.0
126,89.0
127,135.0
128,150.0
129,205.0
130,89.0
131,128.0
132,137.0
133,117.0
134,147.0
135,64.0
136,186.0
137,128.0
138,76.0
139,93.0
140,213.0
141,83.0
142,86.0
143,126.0
144,81.0
145,81.0
146,209.0
147,76.0
148,131.0
149,82.0
150,87.0
151,148.0
152,64.0
153,120.0
154,209.0
155,199.0
156,97.0
157,91.0
158,79.0
159,74.0
160,209.0
161,83.0
162,85.0
163,127.0
164,91.0
165,88.0
166,204.0
167,118.0
168,146.0
169,136.0
170,209.0
171,96.0
172,116.0
173,205.0
174,213.0
175,84.0
176,82.0
177,127.0
178,114.0
179,95.0
180,209.0
181,201.0
182,85.0
183,210.0
184,130.0
185,130.0
186,117.0
187,205.0
188,209.0
189,127.0
190,202.0
191,81.0
192,133.0
193,205.0
194,131.0
195,83.0
196,190.0
197,89.0
198,86.0
199,209.0
200,135.0
201,78.0
202,91.0
203,125.0
204,147.0
205,87.0
206,127.0
207,94.0
208,202.0
209,78.0
210,84.0
211,88.0
212,128.0
213,132.0
214,83.0
215,128.0
216,206.0
217,136.0
218,83.0
219,114.0
220,117.0
221,130.0
222,136.0
223,190.0
224,88.0
225,126.0
226,205.0
227,125.0
228,86.0
229,137.0
230,209.0
231,133.0
232,76.0
233,185.0
234,116.0
235,205.0
236,87.0
237,72.0
238,127.0
239,134.0
240,130.0
241,127.0
242,109.0
243,114.0
244,77.0
245,81.0
246,86.0
247,149.0
248,82.0
249,123.0
250,126.0
251,201.0
252,135.0
253,141.0
254,128.0
255,202.0
256,205.0
257,86.0
258,213.0
259,70.0
260,131.0
261,74.0
262,134.0
263,154.0
264,209.0
265,89.0
266,127.0
267,202.0
268,117.0
269,120.0
270,202.0
271,110.0
272,209.0
273,89.0
274,71.0
275,115.0
276,145.0
277,83.0
278,205.0
279,205.0
280,87.0
281,125.0
282,84.0
283,127.0
284,127.0
285,64.0
286,142.0
287,142.0
288,134.0
289,127.0
290,99.0
291,87.0
292,98.0
293,114.0
294,76.0
295,118.0
296,127.0
297,150.0
298,209.0
299,131.0
300,125.0
301,125.0
302,133.0
303,209.0
304,87.0
305,124.0
306,143.0
307,124.0
308,140.0
309,125.0
310,85.0
311,192.0
312,131.0
313,85.0
314,125.0
315,140.0
316,130.0
317,146.0
318,85.0
319,197.0
320,79.0
321,195.0
322,116.0
323,128.0
324,128.0
325,94.0
326,205.0
327,131.0
328,202.0
329,134.0
330,119.0
331,116.0
332,83.0
333,213.0
334,184.0
335,71.0
336,209.0
337,89.0
338,148.0
339,83.0
340,132.0
341,209.0
342,118.0
343,132.0
344,88.0
345,120.0
346,133.0
347,136.0
348,132.0
349,72.0
350,209.0
351,136.0
352,130.0
353,142.0
354,204.0
355,126.0
356,146.0
357,86.0
358,136.0
359,89.0
360,87.0
361,209.0
362,201.0
363,117.0
364,83.0
365,81.0
366,209.0
367,128.0
368,205.0
369,78.0
370,123.0
371,195.0
372,128.0
373,87.0
374,88.0
375,135.0
376,190.0
377,76.0
378,132.0
379,134.0
380,152.0
381,88.0
382,209.0
383,125.0
384,85.0
385,71.0
386,202.0
387,118.0
388,87.0
389,128.0
390,130.0
391,132.0
392,86.0
393,125.0
394,127.0
395,202.0
396,136.0
397,134.0
398,137.0
399,74.0
400,145.0
401,200.0
402,134.0
403,96.0
404,76.0
405,86.0
406,82.0
407,128.0
408,124.0
409,144.0
410,119.0
411,132.0
412,209.0
413,88.0
414,209.0
415,113.0
416,120.0
417,203.0
418,78.0
419,133.0
420,216.0
421,90.0
422,141.0
423,91.0
424,146.0
425,85.0
426,205.0
427,132.0
428,128.0
429,83.0
430,135.0
431,122.0
432,80.0
433,205.0
434,91.0
435,85.0
436,126.0
437,75.0
438,81.0
439,119.0
440,83.0
441,124.0
442,78.0
443,132.0
444,85.0
445,205.0
446,132.0
447,81.0
448,64.0
449,146.0
450,110.0
451,154.0
452,142.0
453,134.0
454,203.0
455,83.0
456,129.0
457,117.0
458,87.0
459,76.0
460,129.0
461,88.0
462,132.0
463,148.0
464,88.0
465,129.0
466,135.0
467,138.0
468,203.0
469,146.0
470,114.0
471,123.0
472,132.0
473,136.0
474,134.0
475,128.0
476,81.0
477,78.0
478,132.0
479,209.0
480,88.0
481,128.0
482,121.0
483,135.0
484,87.0
485,122.0
486,94.0
487,114.0
488,125.0
489,197.0
490,104.0
491,133.0
492,132.0
493,133.0
494,87.0
495,86.0
496,120.0
497,88.0
498,87.0
499,122.0
500,130.0
501,83.0
502,135.0
503,132.0
504,188.0
505,116.0
506,108.0
507,189.0
508,123.0
509,77.0
510,87.0
511,115.0
512,88.0
513,152.0
514,83.0
515,205.0
516,122.0
517,128.0
518,213.0
519,205.0
520,127.0
521,82.0
522,116.0
523,89.0
524,78.0
525,145.0
526,213.0
527,137.0
528,196.0
529,188.0
530,74.0
531,209.0
532,134.0
533,104.0
534,132.0
535,78.0
536,129.0
537,128.0
538,152.0
539,114.0
540,135.0
541,132.0
542,84.0
543,147.0
544,202.0
545,189.0
546,109.0
547,128.0
548,136.0
549,128.0
550,86.0
551,131.0
552,95.0
553,125.0
554,78.0
555,92.0
556,114.0
557,87.0
558,136.0
559,87.0
560,132.0
561,92.0
562,118.0
563,143.0
564,85.0
565,78.0
566,90.0
567,148.0
568,81.0
569,209.0
570,150.0
571,88.0
572,136.0
573,149.0
574,132.0
575,142.0
576,74.0
577,139.0
578,136.0
579,104.0
580,132.0
581,209.0
582,205.0
583,202.0
584,150.0
585,186.0
586,87.0
587,205.0
588,131.0
589,125.0
590,123.0
591,71.0
592,80.0
593,209.0
594,113.0
595,78.0
596,132.0
597,213.0
598,94.0
599,138.0
600,120.0
601,128.0
602,127.0
603,90.0
604,78.0
605,123.0
606,205.0
607,143.0
608,202.0
609,105.0
610,117.0
611,136.0
612,124.0
613,152.0
614,133.0
615,123.0
616,148.0
617,93.0
618,117.0
619,81.0
620,130.0
621,78.0
622,127.0
623,82.0
624,202.0
625,127.0
626,123.0
627,148.0
628,78.0
629,91.0
630,87.0
631,202.0
632,78.0
633,83.0
634,121.0
635,194.0
636,81.0
637,87.0
638,136.0
639,126.0
640,136.0
641,74.0
642,119.0
643,85.0
644,134.0
645,132.0
646,118.0
647,121.0
648,116.0
649,78.0
650,121.0
651,118.0
652,120.0
653,132.0
654,135.0
655,131.0
656,82.0
657,123.0
658,79.0
659,118.0
660,131.0
661,152.0
662,115.0
663,195.0
664,76.0
665,76.0
666,134.0
667,188.0
668,123.0
669,115.0
670,127.0
671,202.0
672,146.0
673,125.0
674,78.0
675,143.0
676,112.0
677,110.0
678,117.0
679,83.0
680,89.0
681,205.0
682,110.0
683,96.0
684,124.0
685,135.0
686,191.0
687,78.0
688,205.0
689,202.0
690,130.0
691,117.0
692,144.0
693,114.0
694,127.0
695,130.0
696,205.0
697,154.0
698,209.0
699,81.0
700,126.0
701,205.0
702,138.0
703,88.0
704,81.0
705,116.0
706,74.0
707,126.0
708,130.0
709,86.0
710,81.0
711,141.0
712,91.0
713,202.0
714,205.0
715,150.0
716,135.0
717,209.0
718,83.0
719,125.0
720,89.0
721,83.0
722,90.0
723,137.0
724,151.0
725,91.0
726,84.0
727,132.0
728,68.0
729,135.0
730,197.0
731,136.0
732,136.0
733,92.0
734,144.0
735,202.0
736,140.0
737,81.0
738,132.0
739,78.0
740,83.0
741,78.0
742,130.0
743,205.0
744,202.0
745,128.0
746,83.0
747,126.0
748,82.0
749,133.0
750,71.0
751,83.0
752,141.0
753,209.0
